Date,Headline,Link,Contents
2022-04-11,Data centre S-Reits committed to sustainable growth,https://www.businesstimes.com.sg/companies-markets/reits-property/data-centre-s-reits-committed-sustainable-growth-0,"THE data centre industry has experienced tremendous growth in the past 2 years, as businesses are faced with a sudden and increased need for greater cloud capacity to enable work-from-home arrangements.
According to Cushman & Wakefield's 2022 Global Data Center Market Comparison report, the top 10 markets with the greatest capacity under development include London, Northern Virginia, Silicon Valley, Atlanta, Chicago, Dublin, Hong Kong, Phoenix, Singapore and Jakarta.
The report also highlighted the 3 main types of challenges and responsibilities that data centre operators face. These include the ability to source for renewable energy, the ability to develop better methods of cooling servers and the ability to design more efficient facilities to meet the sustainability goals of clients and governments.
In Singapore, data centres accounted for 7 per cent of Singapore's total electricity consumption in 2020.
Earlier this year, the moratorium on new data centres in Singapore was lifted, with certain criteria on energy efficiency.
Minister for Trade and Industry, Gan Kim Yong had said that the government had ""to find a way to manage the growth of data centres in a sustainable manner consistent with our climate change commitments""."
2022-04-11,S-Reits punching above their weight in the global arena,https://www.businesstimes.com.sg/wealth/wealth-investing/s-reits-punching-above-their-weight-global-arena,"SINGAPORE Real Estate Investment Trusts (Reits) are turning the corner with the recent announcements to lift Covid-19 restrictions.

Despite the rising rate environment, Reits have steadily been an active sector among investors. Even institutional investors who were previously overall net sellers in the Singapore market year to date, have turned net buyers of S-Reits since February 2022. Looking comparatively at the global landscape, the iEdge S-Reit Index gained 1.3 per cent year-to-date versus -4.9 per cent average for Global Reits and -4.6 per cent for S&P 500 for the first quarter of 2022.

What is driving the resilience of the Singapore Reit sector against its global peers?

In the last decade, Asia has been a significant contributor to the growth of the global Reit sector. Although the US dominates the global Reit market and continues to grow strongly, there has been significant growth in Asia, especially from the 3 largest markets in Asia - Japan, Singapore and Hong Kong.

Singapore Reits (S-Reits) are an important component of the local market, comprising 13 per cent of the Singapore Exchange's (SGX) market capitalisation. This ratio is the highest globally across stock markets in the world and speaks volumes about the sector's importance to the Singapore market.

Small yet powerful

Singapore, though small in land size, is home to one of the world's most diverse collections of Reits, with around 85 per cent of S-Reits and property trusts owning properties outside of Singapore. In most other regions, Reit assets are predominantly based locally. This makes the Singapore Reit sector unique in terms of asset and geography diversification.

It is perhaps this diversification that has helped S-Reits be one of the most resilient among its peers. When you put together the 10 best performing S-Reits and property trusts with over a 10-year listing history, they have averaged 12.5 per cent in 10-year annualised total returns versus 10 per cent in Apac-based Reits.

Brighter days ahead for Singapore Reits

Looking at 2022 alone, the iEdge S-Reit index is now up 4.5 per cent in March alone, having rallied sharply after Prime Minister Lee Hsien Loong announced the easing of safe management rules.

In the months ahead, S-Reits seem poised to continue their recovery trajectory as Singapore and the world re-opens.

S-Reits are widely seen as resilient income generators. They have another edge: Reits tend to do well during inflationary periods.

To use an example from the US, when we compare US Reits and the S&P 500 during different inflationary periods, we see Reits outperforming considerably when inflation is moderately high. Moderate inflation is defined to be more than 2.5 per cent annually.

I would expect to see this trend play out in Singapore too. The Monetary Authority of Singapore expects core inflation to be closer to 3 per cent this year.

As prices rise, so do rents. This increases the amount of rental income Reits can earn - benefits that are then passed on to the investor.

Reits can weather rate hikes

Although Reits are sensitive to interest rates, given the impact on borrowing costs and yield spreads, S-Reits took the Fed rate hike in March in stride. One driver of this resilience is S-Reits' prudent management of interest rate risks. According to SGX Research, this results in a low correlation with US interest rate cycles historically. Additionally, S-Reits currently have an average gearing ratio of 37 per cent, comfortably below the regulatory threshold of 50 per cent. This means that S-Reits can service their debt and still have room to raise more debt acquisitions or operations.

Retail Reits benefit from Singapore's reopening

Retail Reits are poised for growth now that social distancing measures have eased.

Centrally-located malls in particular stand to benefit from the return of the office crowd and the resumption of travel. These malls tend to cater more to tourists, which all but dried up in the midst of the pandemic.

Since late last year, we've seen a gradual recovery in retail sales. Singapore retail sales grew 11.8 per cent in January 2022 on a year-over-year basis, marking the fifth straight month of gains for retail sales. This uptrend is another positive for the performance of retail Reits going forward.

Singapore office assets to recover

Grade A office rents in Singapore's Central Business District (CBD) saw the fastest quarterly growth in Q1 2022, according to JLL Singapore in a recent report. Overall, rental rates have recovered by 6.9 per cent since bottoming in Q1 2021.

In light of limited new office supply and more ageing office buildings taken off stream for redevelopment, Cushman & Wakefield have forecasted CBD Grade A office rents to grow 4.6 per cent year on year in 2022.

This positive momentum in office rental rates supports a brighter outlook for Singapore office Reits. Additionally, with up to three-quarters of office workers being allowed to return to their workplaces, we could see increased leasing activities and more buoyant sentiment.

Data centres and logistics properties remain in demand

Beyond the reopening play and relaxation of Covid rules, structural trends that were accelerated by the pandemic will continue to play out. This includes a strong e-commerce adoption rate and the rapid growth of the digital economy.

These factors will continue to drive robust demand for new economy assets like data centres and modernised logistics space.

In recent times, data centres have become an essential asset as the world consumes and produces more and more data each day. S-Reits that traditionally focused on industrial assets are now expanding their data centre investments. Last year, Ascendas Reit and Mapletree Industrial Reit announced their acquisition of data centres in Europe and the US respectively.

According to DBS Research, new economy assets now occupy over 90 per cent of large-cap industrial Reits' portfolios. Going forward, this pivot to new economy assets could potentially translate into earnings and DPU growth for many large-cap industrial Reits.

The writer is CEO and founder of Syfe. This column was written in collaboration with SGX, with contribution from Emelia Tan, research analyst with SGX"
2022-04-14,"I'm not the kingmaker,' says Sabana Reit director whom Quarz wants voted out",https://www.businesstimes.com.sg/companies-markets/im-not-kingmaker-says-sabana-reit-director-whom-quarz-wants-voted-out,"SABANA Industrial Real Estate Investment Trust (Sabana Reit) is staring down the barrel of yet another crucial vote that could have a major impact on its plans going forward.

This comes 16 months after its proposed merger with ESR-Reit was voted down by unitholders in December 2020.


Instrumental in that defeat - the first time in the history of Singapore's real estate investment trust (Reit) market that a proposed merger had been voted down - was activist fund manager Quarz Capital Management.

Quarz is now rallying unitholders to reject 3 of the 5 resolutions that Sabana Reit has tabled for its annual general meeting (AGM) on Apr 26.

At the centre of the storm is hedge fund founder and former Credit Suisse trader Chan Wai Kheong, who was appointed as an independent non-executive director of the Reit in June last year."
2022-04-14,Property listcos have more women chair than those in other sectors,https://www.businesstimes.com.sg/property/property-listcos-have-more-women-chair-those-other-sectors,"CLOSE to 18 per cent of the real estate service firms and real estate investment trusts (Reits) listed on the Singapore Exchange (SGX) have an executive chairwoman on their board of directors.

That is higher than the 7 per cent of all SGX-listed companies (listcos) with women chairing their boards as at the end of 2021, an analysis by the Institute of Real Estate and Urban Studies (IREUS) shows.

Among the 100 biggest companies on the bourse, 9 were chaired by women, also a smaller proportion than in the property sector.

IREUS examined a sample of 99 firms in real estate services, including developers, and Reits listed on SGX. The research institute noted that about 21 per cent of these property service firms and Reits are led by women chief executive officers. And on average, women held around 13.2 per cent of board seats in the real estate sector, based on data from the companies' latest annual reports. This proportion is close to the overall average for all SGX-listed companies in recent months.

Women's participation on the boards of SGX-listed companies has been increasing over the years, reaching an average share of 13.6 per cent in January 2022, statistics from Singapore's Council for Board Diversity showed. This is up from 13.5 per cent in December 2021 and 8.3 per cent in December 2013.
However, going by IREUS' findings, the relationship between the number of board positions filled by women and the return on equity is not distinct.

When the trend line - that is, the best-fit straight line - of the returns in 2021 is plotted against the proportion of female directors, it appears flattish.

Still, the property names with a proportion of more than 30 per cent women on their boards seem to have a higher average return on equity than those with none.

IREUS deputy director Lee Nai Jia said: ""The relationship between women's participation in boards and the returns appears weakly positive at this juncture, partly due to bunching effects - most firms have either a 10 to 20 per cent female representation on their boards or an all-male board.

""That said, the results are encouraging, though more research is needed to isolate the causes.""

The case for gender-balanced boards is as much about improving company performance and other economic considerations as it is about gender parity and creating equal opportunities for both women and men, Dr Lee added.

Gender diversity is one of the indicators of board diversity, and more organisations are increasingly approaching it as a value driver in organisational strategy and corporate governance.

Some studies argue that a heterogeneous board of directors benefits from a more thorough consideration of problems and solutions, which in turn enhances board independence. Moreover, a diverse leadership team may be able to increase a firm's competitiveness by leveraging a larger network of contacts, as well as broader expertise and experience.

The Council for Board Diversity stated in its March 2022 report that 21 companies, out of the top 100 companies on SGX, have consistently maintained gender diversity on their boards since 2013 or their listing dates.

The 21 included Reits such as Lendlease Global Commercial Reit, which had women making up 40 per cent of its directors as at December 2021; and SPH Reit, Mapletree Commercial Trust, Mapletree North Asia Commercial Trust and Prime US Reit, each with 33 per cent.
"
2022-04-19,Time to double down on S-Reit investments amid MAS 'double barrel' policy tightening,https://www.businesstimes.com.sg/opinion-features/columns/time-double-down-s-reit-investments-amid-mas-double-barrel-policy?login=true&close=true,"INFLATION is poised to continue rising, as signalled by the Monetary Authority of Singapore (MAS)'s decision last week to tighten its monetary policy for the third time in 6 months.
Investors seeking a hedge against inflation should take yet another look at Singapore-listed real estate investment trusts (S-Reits).
The central bank on Apr 14 raised its inflation forecasts sharply for 2022, even as it announced an aggressive double-tightening move: recentring the mid-point of the Singapore dollar nominal effective exchange rate (S$NEER) policy band at the prevailing rate and slightly raising the rate of appreciation of the policy band.
Put simply, this means the Singapore dollar (SGD) will be allowed to appreciate to a higher level and at a faster pace. The appreciation of the local currency against the currencies of its major trading partners helps to reduce the prices paid in SGD for imported goods and services.
Meanwhile, MAS also raised its headline inflation forecast by 200 basis points (bps) to a range of 4.5 to 5.5 per cent. Its core inflation forecast was raised by 50 bps to between 2.5 and 3.5 per cent.
In a statement, the central bank said ""underlying inflationary pressures remain a risk over the medium term""."
2022-04-21,Border reopening is godsend to Singapore retail space landlords,https://www.businesstimes.com.sg/companies-markets/reits-property/border-reopening-godsend-singapore-retail-space-landlords,"AFTER several stops and starts along the way, it looks like things have finally reached an inflection point for the retail sector.
The easing of travel curbs through the launch of the Vaccinated Travel Framework is gradually helping to bring tourists back to Singapore, which should benefit shopping malls in areas popular with holiday-makers, such as the Orchard Road shopping belt.
The Central Business District (CBD), meanwhile, is starting to regain a bit of buzz after the government lifted capacity limits in offices to 75 per cent, up from 50 per cent.
Footfall is also expected to pick up as larger groups of vaccinated people are now able to dine together. This could give tenants greater confidence in the re-opening trajectory, which in time could encourage them to expand their footprint.
In addition, landlords should be able to look forward to improving rental reversions as tenant sales pick up. CGS-CIMB analyst Lock Mun Yee estimates that rental reversions will see stability to low single digit improvements for 2022.
On the flipside, it's worth noting that Singapore residents will likely seize the opportunity to pack their bags and head abroad during the school holidays. An exodus of residents could impact takings, especially at suburban malls."
2022-04-21,"Green commercial, logistics properties' valuations more resilient: IREUS",https://www.businesstimes.com.sg/property/green-commercial-logistics-properties-valuations-more-resilient-ireus,"ENVIRONMENTALLY friendly properties tended to perform better during the global pandemic, with generally smaller drops in valuations when compared to buildings without green certification, an analysis by the Institute of Real Estate and Urban Studies (IREUS) found.
It compared the changes in the values of properties held by Singapore-listed real estate investment trusts (S-Reits), across different sectors and countries, between fiscal years 2019 and 2020.
The analysis, based on data extracted from the S-Reits' annual reports, excluded recently-acquired buildings, which did not have previous valuations for comparison.
Green commercial buildings in particular proved more resilient against Covid-19 pandemic headwinds than their counterparts that are not green certified.
For example, in the retail sector, values declined by an average of 1.6 per cent in FY2020 for green properties, markedly less than the 5.5 per cent decrease for those without any green certification.
Business parks saw values grow by 2.8 per cent for green-certified buildings, in contrast to a 0.4 per cent dip for the others.
Some asset classes that thrived during the pandemic, such as logistics properties, also performed better when it came to green buildings versus non-green ones.
Green logistics and warehouse assets on average enjoyed a 12.7 per cent jump in valuations, a far cry from the 4.9 per cent uptick for those without a green label.
However, in what appears to be a departure from expectations, data centres and light industrial buildings that are not green-certified actually did better than their counterparts.
Green data centres posted a 2.8 per cent increase in values in FY2020, while those without certification clocked a 4.2 per cent rise.
Lee Nai Jia, deputy director of IREUS at the National University of Singapore, said that at the moment, there are not many data centres with green certification, especially those that are outside Singapore.
""Hence, the higher valuations may reflect the market conditions in countries without green certification schemes, which may have skewed valuation trends in countries offering such schemes for data centres,"" he added.
As for light industrial buildings, green ones saw values fall 4.8 per cent, as opposed to a 6.6 per cent growth for the rest.
Dr Lee noted that expiring land tenures may have contributed to the decline in valuations of environmentally friendly, light industrial buildings, especially sites with fewer than 40 years remaining.
""On the whole, the values of commercial buildings with green certification seem more resilient during the pandemic. Given the uncertainty arising from geopolitical tensions and rising energy costs, these buildings are anticipated to do better than their counterparts that are not green-certified, as their energy savings will be higher,"" he added.
Construction and the built environment are responsible for 39 per cent of all carbon emissions worldwide, with operational emissions from energy used to heat, cool and illuminate buildings accounting for 28 per cent, non-profit World Green Building Council has said.
IREUS noted that against the backdrop of such a substantial carbon footprint, green buildings play a key role in slowing global warming, and there is also an economic case for such assets.
One of the earliest studies on the price premiums of environmentally sustainable properties was a paper in 2010, titled Doing well by doing good? Green office buildings, published by the American Economic Association.
The researchers found that US office buildings with a green rating commanded a premium of above 7 per cent in effective rents, while the selling prices of green buildings were higher by about 16 per cent.
A June 2021 report by JLL noted that 7 in 10 corporations in Asia-Pacific were willing to pay higher rents to lease sustainability-certified buildings in the future.
Also, the majority of corporate occupiers currently leasing space in a green building were paying 7 per cent to 10 per cent more rent, JLL said."
2022-04-27,Sustainability-linked loans trump other green finance for Singapore property firms,https://www.businesstimes.com.sg/property/sustainability-linked-loans-trump-other-green-finance-singapore-property-firms,"PROPERTY firms and real estate investment trusts (Reits) bagged nearly half of the green debt raised by Singapore companies last year, with sustainability-linked loans making up the lion's share, according to an analysis by the Institute of Real Estate and Urban Studies (IREUS).
Lee Nai Jia, deputy director of IREUS at the National University of Singapore, said the real estate sector is likely to be among the leaders in sustainable financing in the immediate future, as there are well-established standards for green building certification.
He expects both green and sustainability-linked financing to increase their market share among the available debt instruments. ""Higher oil prices and the imposition of carbon taxes, together with greater investment appetite for sustainable investments, should continue to drive sustainable financing,"" Dr Lee added.
The research institute's analysis of data from financial markets data and infrastructure provider Refinitiv showed that the market for green and sustainability-linked financing in Singapore started to pick up in 2019.
The amount of such debt obtained by firms domiciled in the city-state also reached a new high in 2021, charting the ""meteoric rise"" of a debt market that did not exist just a decade ago, IREUS noted.
Green and sustainability-linked debt clinched by Singapore companies across all sectors in 2021 surged to S$163.2 billion, which is almost 5 times the S$32.9 billion a year ago."
2022-04-27,"FCT raises H1 DPU by 2.3% on improved operating, financial performance",https://www.businesstimes.com.sg/companies-markets/fct-raises-h1-dpu-23-improved-operating-financial-performance,"FRASERS Centrepoint Trust : J69U +0.97% (FCT) posted a 2.3 per cent rise in distribution per unit (DPU) to S$0.06136 for its first half ended Mar 31, 2022, from S$0.05996 a year ago, as the real estate investment trust (Reit) saw an improved operating and financial performance in the period.
The increase comes despite FCT retaining S$4.8 million of its taxable income available for distribution to unitholders in H1.
In a briefing accompanying the results announcement on Apr 27, chief executive officer of FCT's manager, Richard Ng, said the retention was for ""prudence"" as the latest easing of Singapore's Covid-related safe management measures had not yet been announced when the terms of the distribution were being worked out.
""When we made the decision, the announcement hadn't taken place. And so, while we were confident that we should expect more lifting of the measures, the clarity wasn't there,"" Ng said.
""Largely, the amount set aside was just for prudence,"" he added. ""There's another 6 months to go (in this fiscal year); we are doing well, but we want to be prudent.""
The retained amount is expected to be distributed in the second half. ""As far as FCT is concerned, we distribute at least 90 per cent of all our taxable income every year,"" Ng said."
2022-04-29,"Cuscaden offers S$0.9372 per SPH Reit unit, 3.9% below last traded price",https://www.businesstimes.com.sg/companies-markets/reits-property/cuscaden-offers-s09372-sph-reit-unit-39-below-last-traded-price,"CUSCADEN Peak will offer to acquire SPH Reit : SK6U +1.23% at S$0.9372 per unit, which is the minimum offer price required after adjusting for recent SPH Reit distributions.
The offer price is 3.9 per cent below SPH Reit's last traded price, on Thursday (Apr 28), of S$0.975. It is also 2.8 per cent below SPH Reit's daily volume-weighted average price (VWAP) over the last month.
The offer by Cuscaden is required by the Singapore Code on Take-overs and Mergers, as Cuscaden and its concert parties would own 47.2 per cent of SPH Reit following the completion of an offer by Cuscaden to take Singapore Press Holdings : T39 0% (SPH) private.
The minimum chain offer price was determined by the daily VWAP of SPH Reit for the 20 trading days prior to Cuscaden's initial announcement of the proposed offer for SPH, on Oct 29, or whatever number of trading days there were within the 30 calendar days prior.
Cuscaden has also exercised its right to reduce the minimum price by distributions paid on or after Nov 15, which was when the scheme for the SPH offer was announced.
The offer is, however, conditional upon Cuscaden and its concert parties holding more than 50 per cent of SPH Reit at the close of the offer. Cuscaden said it does not intend to ""actively pursue the delisting of SPH Reit"". Nevertheless, if the free float requirement that 10 per cent of units are held by the public is not satisfied, Cuscaden will proceed to compulsorily acquire all outstanding units and delist SPH Reit."
